order_id,delivery_id,delivery_status,delivery_time,rider_id
4,1,Delivered,09:13:57,287
6,2,Delayed,10:54:40,261
7,3,Delayed,00:48:21,73
10,4,Delivered,18:07:27,158
11,5,Delayed,13:03:46,155
13,6,Delayed,09:44:10,300
14,7,Delivered,00:10:27,206
16,8,Delivered,04:43:29,250
17,9,Delayed,02:53:24,128
22,10,Delayed,05:08:44,48
25,11,Delayed,03:59:55,283
27,12,Delivered,20:55:11,168
31,13,Delivered,02:56:01,121
32,14,Delayed,12:20:07,82
33,15,Delayed,14:27:43,118
37,16,Delayed,08:28:31,49
39,17,Delayed,09:44:08,297
43,18,Delayed,16:45:47,19
48,19,Delivered,00:20:16,111
49,20,Delayed,09:30:17,114
51,21,Delayed,13:48:17,162
55,22,Delayed,22:46:20,52
58,23,Delivered,08:44:20,157
59,24,Delivered,23:20:37,233
60,25,Delivered,14:01:56,48
62,26,Delayed,16:44:10,21
66,27,Delivered,00:25:04,122
69,28,Delayed,00:22:36,85
73,29,Delivered,08:27:27,24
75,30,Delivered,12:38:32,162
76,31,Delivered,05:16:50,183
78,32,Delivered,05:32:03,99
83,33,Delayed,13:58:18,147
87,34,Delayed,21:29:03,93
92,35,Delivered,14:21:59,128
100,36,Delivered,17:48:58,197
105,37,Delayed,14:54:21,6
107,38,Delivered,20:22:37,99
109,39,Delivered,03:40:35,269
122,40,Delivered,08:19:04,117
124,41,Delayed,10:24:41,163
126,42,Delivered,11:29:51,44
128,43,Delayed,04:19:59,280
129,44,Delivered,20:27:15,75
130,45,Delayed,10:07:28,73
133,46,Delivered,04:58:06,288
134,47,Delivered,15:03:32,159
144,48,Delivered,05:15:22,165
146,49,Delayed,10:57:35,116
151,50,Delivered,02:25:09,28
152,51,Delivered,05:14:56,167
164,52,Delayed,12:27:51,81
166,53,Delayed,05:50:35,279
167,54,Delayed,13:01:54,119
168,55,Delivered,02:32:54,126
171,56,Delivered,07:34:05,148
181,57,Delivered,15:09:28,289
190,58,Delivered,13:15:49,19
191,59,Delivered,05:22:11,44
193,60,Delayed,06:31:18,263
194,61,Delivered,18:53:00,176
195,62,Delivered,11:50:45,203
198,63,Delivered,05:26:46,61
202,64,Delayed,05:58:05,22
203,65,Delivered,11:00:45,14
206,66,Delivered,05:31:32,134
208,67,Delayed,04:26:48,156
209,68,Delayed,15:53:32,284
212,69,Delayed,17:03:38,69
213,70,Delayed,08:39:58,78
221,71,Delivered,07:10:43,225
223,72,Delayed,19:22:51,200
227,73,Delivered,10:24:00,251
234,74,Delivered,04:38:27,111
238,75,Delivered,20:36:30,185
239,76,Delivered,12:28:44,70
246,77,Delivered,06:36:45,205
250,78,Delayed,14:41:04,23
251,79,Delayed,04:39:23,60
257,80,Delayed,15:47:32,34
263,81,Delayed,11:59:43,80
270,82,Delayed,14:35:58,156
271,83,Delivered,20:32:58,3
272,84,Delivered,14:07:49,270
276,85,Delayed,19:54:28,17
277,86,Delivered,04:24:35,115
279,87,Delayed,12:50:36,151
282,88,Delivered,20:27:06,52
283,89,Delayed,20:52:32,14
285,90,Delivered,14:00:42,32
289,91,Delivered,09:34:01,46
290,92,Delayed,06:08:13,257
291,93,Delayed,06:50:36,8
293,94,Delayed,05:16:28,137
295,95,Delayed,14:16:28,294
297,96,Delivered,18:10:55,279
298,97,Delayed,21:56:28,185
299,98,Delivered,17:01:22,84
301,99,Delayed,19:19:18,34
302,100,Delivered,11:14:55,273
303,101,Delivered,08:58:18,155
304,102,Delivered,21:22:37,179
305,103,Delivered,06:22:09,34
308,104,Delivered,16:40:13,275
309,105,Delivered,09:49:47,164
312,106,Delivered,20:21:31,203
313,107,Delivered,13:35:10,64
316,108,Delivered,03:01:10,186
317,109,Delivered,02:58:03,78
319,110,Delayed,23:00:31,156
327,111,Delayed,05:17:34,267
330,112,Delayed,21:09:56,93
335,113,Delayed,14:02:29,146
337,114,Delivered,07:38:05,275
338,115,Delayed,18:08:30,123
341,116,Delivered,14:23:28,155
345,117,Delayed,08:58:08,247
348,118,Delayed,18:07:30,81
349,119,Delayed,06:55:13,39
