order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
1,660,176,Tandoori Chicken,07-02-2025,03:29:37,Delivered,844.19
2,569,10,Korma,30-05-2025,02:30:51,Cancelled,995.59
3,138,46,Kebabs,18-08-2024,08:58:04,Cancelled,497.37
4,725,139,Fish Curry,12-03-2025,07:24:33,Delivered,648.95
5,164,123,Idli Sambhar,18-01-2025,07:33:49,Delivered,866.56
6,415,18,Fish Curry,24-06-2025,10:20:18,Delivered,526.49
7,64,38,Kebabs,04-02-2025,02:09:00,Delivered,535.61
8,657,190,Chicken Tikka Masala,23-11-2024,01:29:07,Delivered,844.28
9,713,34,Butter Chicken,14-03-2025,09:59:11,Cancelled,372.06
10,760,141,Fish Curry,15-01-2025,16:52:19,Delivered,238.54
11,881,71,Litti Chokha,17-02-2025,10:31:20,Delivered,387.42
12,356,107,Chicken Tikka Masala,25-12-2024,23:19:37,Cancelled,911.41
13,314,69,Pesarattu,29-09-2024,16:21:49,Delivered,814.35
14,117,78,Biryani,01-05-2025,03:52:11,Delivered,618.68
15,526,86,Tandoori Chicken,01-01-2025,21:28:22,Cancelled,427.8
16,71,128,Paneer Tikka,22-01-2025,21:42:02,Delivered,464.4
17,654,28,Aloo Paratha,15-07-2025,03:25:06,Delivered,353.95
18,186,61,Palak Paneer,17-01-2025,03:24:41,Cancelled,393.54
19,149,98,Litti Chokha,23-04-2025,10:48:44,Delivered,707.62
20,6,88,Dhokla,17-07-2025,23:56:48,Delivered,165.5
21,811,8,Chole Bhature,24-06-2025,08:45:17,Cancelled,155.33
22,41,177,Aloo Paratha,04-09-2024,10:40:13,Delivered,637
23,946,66,Chicken Tikka Masala,21-11-2024,19:13:58,Cancelled,910.81
24,1000,98,Pesarattu,07-09-2024,21:52:42,Delivered,408.94
25,250,88,Chicken Tikka Masala,23-04-2025,14:47:05,Delivered,289.31
26,326,125,Aloo Paratha,31-01-2025,05:12:31,Delivered,378.83
27,498,77,Rogan Josh,10-08-2024,03:03:27,Delivered,107.98
28,123,112,Korma,10-06-2025,08:20:33,Delivered,115.75
29,64,129,Matar Paneer,24-05-2025,08:28:34,Cancelled,693.82
30,891,43,Appam with Stew,15-07-2025,09:02:16,Cancelled,893.39
31,748,126,Pav Bhaji,03-06-2025,17:48:30,Delivered,743.48
32,723,162,Palak Paneer,24-02-2025,06:00:58,Delivered,170.05
33,815,30,Fish Curry,01-07-2025,06:05:29,Delivered,327.67
34,604,117,Rogan Josh,22-10-2024,14:15:32,Delivered,613.28
35,241,158,Biryani,20-10-2024,03:35:14,Cancelled,458.75
36,369,200,Hyderabadi Biryani,03-08-2024,09:52:15,Cancelled,200.26
37,41,182,Pesarattu,16-08-2024,19:28:45,Delivered,183.85
38,578,54,Biryani,13-11-2024,20:45:26,Delivered,294.42
39,139,157,Aloo Paratha,24-04-2025,03:56:51,Delivered,928.93
40,17,55,Palak Paneer,10-01-2025,19:23:21,Delivered,878.88
41,469,189,Kebabs,12-08-2024,03:47:42,Delivered,546.53
42,143,47,Biryani,19-04-2025,07:02:20,Delivered,400.92
43,247,58,Masala Dosa,02-08-2024,07:20:30,Delivered,659.38
44,819,19,Kebabs,02-08-2024,18:20:49,Cancelled,197.84
45,396,189,Chole Bhature,30-06-2025,23:03:38,Delivered,178.72
46,471,46,Pesarattu,28-08-2024,22:21:04,Delivered,447.66
47,510,23,Pav Bhaji,03-08-2024,23:34:21,Cancelled,809.62
48,365,131,Kebabs,18-02-2025,00:42:08,Delivered,299.62
49,120,125,Matar Paneer,12-11-2024,07:09:29,Delivered,417.66
50,89,52,Chole Bhature,29-11-2024,15:59:04,Cancelled,930.27
51,772,103,Chole Bhature,05-01-2025,18:39:22,Delivered,494.29
52,792,99,Chicken Tikka Masala,16-04-2025,02:43:19,Delivered,327.46
